sector,title,type,level,qualification_number,status,official_catalogue_url,date_checked
Active Leisure,Level 2 Certificate in Gym Instructing,Qualification,2,603/3502/6,listed,https://innovateawarding.org/services/assessment/,2026-07-22
Active Leisure,Level 3 Diploma for the Gym Instructing and Personal Training Practitioner,Qualification,3,603/6001/X,listed,https://innovateawarding.org/services/assessment/,2026-07-22
Active Leisure,Level 3 Diploma in Personal Training,Qualification,3,603/3503/8,listed,https://innovateawarding.org/services/assessment/,2026-07-22
Care Services,Level 2 Adult Social Care Certificate,Qualification,2,610/4120/8,listed,https://innovateawarding.org/services/assessment/,2026-07-22
Care Services,Level 2 Award In Awareness of Dementia,Qualification,2,600/8176/4,listed,https://innovateawarding.org/services/assessment/,2026-07-22
Care Services,Level 2 Certificate for the Children and Young People's Workforce,Qualification,2,601/3421/5,listed,https://innovateawarding.org/services/assessment/,2026-07-22
Care Services,Level 2 Certificate in Awareness of Mental Health Conditions,Qualification,2,603/6664/3,listed,https://innovateawarding.org/services/assessment/,2026-07-22
Care Services,Level 2 Certificate in Preparing to Work in Mental Health Services,Qualification,2,603/6434/8,listed,https://innovateawarding.org/services/assessment/,2026-07-22
Care Services,Level 2 Certificate In Principles of Working with Individuals with Learning Difficulties,Qualification,2,600/9441/2,listed,https://innovateawarding.org/services/assessment/,2026-07-22
Care Services,Level 2 Certificate in the Principles of Dementia Care,Qualification,2,600/7212/X,listed,https://innovateawarding.org/services/assessment/,2026-07-22
Care Services,Level 2 Certificate in the Principles of the Prevention and Control of Infection in Health Care Settings,Qualification,2,600/8765/1,listed,https://innovateawarding.org/services/assessment/,2026-07-22
Care Services,Level 2 Certificate in Understanding Autistic Spectrum Disorders,Qualification,2,603/6666/7,listed,https://innovateawarding.org/services/assessment/,2026-07-22
Care Services,Level 2 Certificate in Understanding Behaviour That Challenges,Qualification,2,603/6665/5,listed,https://innovateawarding.org/services/assessment/,2026-07-22
Care Services,Level 2 Certificate in Understanding Children and Young People's Mental Health,Qualification,2,603/6667/9,listed,https://innovateawarding.org/services/assessment/,2026-07-22
Care Services,Level 2 Certificate In Understanding Dignity and Safeguarding in Adult Health and Social Care,Qualification,2,601/5523/1,listed,https://innovateawarding.org/services/assessment/,2026-07-22
Care Services,Level 2 Certificate In Understanding Menopause in the Workplace,Qualification,2,610/1341/9,listed,https://innovateawarding.org/services/assessment/,2026-07-22
Care Services,Level 2 Certificate In Understanding Nutrition and Health,Qualification,2,601/4402/6,listed,https://innovateawarding.org/services/assessment/,2026-07-22
Care Services,Level 2 Certificate In Understanding the Care and Management of Diabetes,Qualification,2,601/5524/3,listed,https://innovateawarding.org/services/assessment/,2026-07-22
Care Services,Level 2 Certificate in Understanding the Safe Handling of Medicines,Qualification,2,603/6423/3,listed,https://innovateawarding.org/services/assessment/,2026-07-22
Care Services,Level 2 Diploma in Care,Qualification,2,603/2524/0,listed,https://innovateawarding.org/services/assessment/,2026-07-22
Care Services,Level 3 Certificate in Diet and Nutrition,Qualification,3,603/0678/6,listed,https://innovateawarding.org/services/assessment/,2026-07-22
Care Services,Level 3 Certificate in Foot Health Care,Qualification,3,610/6998/X,listed,https://innovateawarding.org/services/assessment/,2026-07-22
Care Services,Level 3 Certificate in the Fundamental Steps of End of Life Care,Qualification,3,603/4615/2,listed,https://innovateawarding.org/services/assessment/,2026-07-22
Care Services,Level 3 Certificate in the Principles of End of Life Care,Qualification,3,603/6436/1,listed,https://innovateawarding.org/services/assessment/,2026-07-22
Care Services,Level 3 Diploma for Residential Childcare (England),Qualification,3,601/5266/7,listed,https://innovateawarding.org/services/assessment/,2026-07-22
Care Services,Level 3 Diploma for the Children and Young People's Workforce,Qualification,3,601/3514/1,listed,https://innovateawarding.org/services/assessment/,2026-07-22
Care Services,Level 3 Diploma for the Foot Health Care Practitioner,Qualification,3,601/5502/4,closed for registrations,https://innovateawarding.org/services/assessment/,2026-07-22
Care Services,Level 3 Diploma in Adult Care,Qualification,3,610/6982/6,listed,https://innovateawarding.org/services/assessment/,2026-07-22
Care Services,Level 3 Diploma in Adult Care,Qualification,3,610/0510/1,closed for registrations March 2026,https://innovateawarding.org/services/assessment/,2026-07-22
Care Services,Level 3 Diploma in Healthcare Support,Qualification,3,610/2224/X,listed,https://innovateawarding.org/services/assessment/,2026-07-22
Care Services,Level 3 Diploma in Healthcare Support,Qualification,3,603/2467/3,closed for registrations,https://innovateawarding.org/services/assessment/,2026-07-22
Care Services,Level 4 Diploma for the Foot Health Care Practitioner,Qualification,4,610/4007/1,listed,https://innovateawarding.org/services/assessment/,2026-07-22
Care Services,Level 4 Diploma in Adult Care,Qualification,4,603/2517/3,listed,https://innovateawarding.org/services/assessment/,2026-07-22
Care Services,Level 5 Award in Understanding Digital Leadership in Adult Social Care,Qualification,5,610/5277/2,listed,https://innovateawarding.org/services/assessment/,2026-07-22
Care Services,Level 5 Diploma for Assistant Practitioners in Healthcare,Qualification,5,610/3735/7,listed,https://innovateawarding.org/services/assessment/,2026-07-22
Care Services,Level 5 Diploma in Leadership and Management For Adult Care,Qualification,5,610/0536/8,closed for registrations March 2026,https://innovateawarding.org/services/assessment/,2026-07-22
Care Services,Level 5 Diploma in Leadership and Management for Residential Childcare (England),Qualification,5,601/5269/2,listed,https://innovateawarding.org/services/assessment/,2026-07-22
Care Services,Level 5 Diploma in Leadership for Health and Social Care and Children and Young People's Services (England),Qualification,5,601/4259/5,listed,https://innovateawarding.org/services/assessment/,2026-07-22
Care Services,Level 5 Diploma in Leading and Managing an Adult Care Service,Qualification,5,610/6952/8,listed,https://innovateawarding.org/services/assessment/,2026-07-22
Education and Training,Level 2 Certificate In Supporting Teaching and Learning In Schools,Qualification,2,601/7926/0,listed,https://innovateawarding.org/services/assessment/,2026-07-22
Education and Training,Level 2 Diploma for the Early Years Practitioner,Qualification,2,603/4814/8,listed,https://innovateawarding.org/services/assessment/,2026-07-22
Education and Training,Level 3 Award In Assessing Competence in the Work Environment,Qualification,3,601/4409/9,listed,https://innovateawarding.org/services/assessment/,2026-07-22
Education and Training,Level 3 Award In Assessing Vocationally Related Achievement,Qualification,3,601/4410/5,listed,https://innovateawarding.org/services/assessment/,2026-07-22
Education and Training,Level 3 Award In Education and Training,Qualification,3,601/4415/4,listed,https://innovateawarding.org/services/assessment/,2026-07-22
Education and Training,Level 3 Award In Understanding the Principles and Practices of Assessment,Qualification,3,601/4408/7,listed,https://innovateawarding.org/services/assessment/,2026-07-22
Education and Training,Level 3 Certificate In Assessing Vocational Achievement,Qualification,3,601/4411/7,listed,https://innovateawarding.org/services/assessment/,2026-07-22
Education and Training,Level 3 Certificate In Supporting Teaching and Learning In Schools,Qualification,3,601/7927/2,listed,https://innovateawarding.org/services/assessment/,2026-07-22
Education and Training,Level 3 Diploma for the Early Years Educator,Qualification,3,610/4337/0,listed,https://innovateawarding.org/services/assessment/,2026-07-22
Education and Training,Level 3 Diploma In Early Learning and Childcare (Early Years Educator),Qualification,3,601/3890/7,closed for registrations,https://innovateawarding.org/services/assessment/,2026-07-22
Education and Training,Level 3 Diploma In Specialist Support for Teaching and Learning in Schools,Qualification,3,601/8426/7,listed,https://innovateawarding.org/services/assessment/,2026-07-22
Education and Training,Level 4 Award In Internal Quality Assurance of Assessment Processes and Practice,Qualification,4,601/4413/0,listed,https://innovateawarding.org/services/assessment/,2026-07-22
Education and Training,Level 4 Certificate In Education and Training,Qualification,4,601/4416/6,listed,https://innovateawarding.org/services/assessment/,2026-07-22
Education and Training,Level 4 Certificate In Leading the Internal Quality Assurance of Assessment Processes and Practice,Qualification,4,601/4414/2,listed,https://innovateawarding.org/services/assessment/,2026-07-22
Employability and Transition,Level 2 Award in Employability and Personal Development,Qualification,2,603/6375/7,listed,https://innovateawarding.org/services/assessment/,2026-07-22
Employability and Transition,Level 2 Certificate for Transition to Working in Business Administration,Qualification,2,603/6380/0,listed,https://innovateawarding.org/services/assessment/,2026-07-22
Employability and Transition,Level 2 Certificate for Transition to Working in Digital Industries,Qualification,2,603/6384/8,listed,https://innovateawarding.org/services/assessment/,2026-07-22
Employability and Transition,"Level 2 Certificate for Transition To Working in Hospitality, Leisure, Travel and Tourism",Qualification,2,603/6376/9,listed,https://innovateawarding.org/services/assessment/,2026-07-22
Employability and Transition,Level 2 Certificate for Transition to Working in Retail,Qualification,2,603/6378/2,listed,https://innovateawarding.org/services/assessment/,2026-07-22
